airline_name_norm,fleet_size
smartlynx,72
smartlynx estonia,2
smartwings,98
solairus aviation,44
solar cargo,1
solaris aero,4
solaseed air,28
solenta aviation,13
solinair,2
solitair,4
solomon airlines,6
somon air,14
soulbird,10
sounds air,18
south africa air force,13
south african airways,36
southern air charter,2
southern airways express,92
southern illinois university school of aviation,38
southwest aircraft charter,2
southwest airlines,1632
southwind airlines,26
spacebee airlines,2
spain air force,102
spain army,26
spain coast guard,18
spain guardia civil,20
sparfell,6
spartan college of aeronautics and technology,71
specialist aviation services,13
specsavers aviation,3
spicejet,88
spirit airlines,392
spiritjets,12
spot jet services,1
spree flug,3
spring airlines,268
spring city aviation,6
spring japan,12
sprintair,38
srilankan airlines,46
sriwijaya air,8
st barth commuter,12
st barth executive,14
stajets,9
star air,20
star air cargo,9
star aviation,4
star east airlines,3
star jet,1
star peru,10
star wings,6
star work sky,8
starflyer,22
starlink aviation,10
starlite aviation,11
starlux,56
stellaer 212,2
sterling aviation,4
su airlines,1
suburban air freight,16
sudan airways,4
summit air,42
summit aviation,36
sun air bulgaria,1
sun country airlines,92
sunair,18
sunclass airlines,24
sundair,10
sundt air,5
sunexpress,174
sunkar air,2
sunlight air,6
sunrise airways,6
sunwest aviation,42
suparna airlines,24
super air jet,122
superior air charter,6
supernova airlines,2
surf air,16
surinam airways,4
susi air,21
suzhou aviation,2
svensk luftambulans,6
svenskt ambulansflyg,12
svg air,5
sweden air force,132
sweden police,1
sweden swedish maritime administration,14
swift copters,12
swiftair,58
swiftair hellas,6
swiss,94
swiss helicopter,31
swiss private jet,6
switzerland air force,1
sxm airways,4
sybajet san marino,2
sylt air,18
syrian air,32
taag angola airlines,44
tab cargo,2
taban airlines,10
tae avia,3
taespejo portugal,2
tagairlines,4
taiga air,6
tailwind airlines,10
talon air,9
tanana air service,1
tap air portugal,200
tar aerolineas,10
tar mexico,1
